Mean,Median,MAD,Standard Deviation,RMS,Shape Factor,Crest Factor,Entropy,Skewness,Kurtosis,Gradient Mean,Gradient Std Dev,Rolling Median Mean,Rolling MAD Mean,Spectral Centroid,Spectral Entropy,Peak Frequency,Spectral Flatness,Spectral Spread,Spectral Roll-off,Low Band Energy,Mid Band Energy,High Band Energy,Spectral Crest,Spectral Flux,Spectral Kurtosis,Spectral Skewness,Spectral Slope,Datetime,Size,No,Label
8.551932928024765e-07,-0.00028603617083767727,0.03043156371632721,0.0470999552252991,0.04709995523306296,1.2782064398175899,9.152955548532956,-106.88298919943932,0.14024642253057792,4.1488669265491875,-3.2314735523577736e-07,0.03968189156219034,-0.00027469308170294016,0.03102743293947487,25.865473405543995,13.053619876155295,33.31796908239966,0.4191048158393931,11.331410773835433,39.7248617217416,1805.5888614381631,39366.538925681074,22586.747364460152,96.30099593772312,593699.1036739207,1443.7513277556889,24.880298341424687,0.018821038504813137,20240921135825,1505,XXX0001,1
-2.3169596642838473e-06,0.0005879318487657255,0.029880755811493784,0.04317712045711186,0.04317712051927791,1.2436909091222421,4.883101938958175,-217.65210612904596,-0.01345267235839223,2.8977355662795934,-3.7668000082921816e-07,0.03605568092853478,0.000648209621315802,0.030015226552157753,26.633331575204974,13.0153687197746,33.31796908239966,0.4760655756766863,11.683523991341485,41.16791944405049,1682.0781704456394,31318.55922791411,20874.89023931385,114.11485477098915,526827.7099422521,1789.8870229553352,28.953122842851666,0.029984550719729358,20240921140614,1505,XXX0001,1
3.3429411874434614e-06,0.00010296383614048343,0.030861809586295925,0.04556468926257107,0.04556468938520173,1.252600074933446,6.858246516790679,-133.21516871857762,-0.0064096231161761075,3.138067441578843,-2.1254879936211053e-06,0.03730669298181125,0.00023798364296389137,0.03113198067963354,26.25625218865461,13.039709284984466,33.31796908239966,0.49615674145632377,11.743624760918506,40.95163806552262,1977.2424000896485,35214.34450555987,22313.111758643776,100.52825970588815,557826.0943498451,1404.061567636957,24.779425906591477,0.02548009580386817,20240921141909,1505,XXX0001,1
-1.3056549966920889e-06,-0.0005627354553934438,0.03818392335647935,0.057412244697579155,0.057412244712425606,1.2666361438912168,9.314656165098398,-75.42261297661531,0.09217682293908616,3.8492922197162502,7.465799704542844e-07,0.047169644022266914,-0.0005647981852807537,0.038417606341542475,25.72509118019067,13.006724523494183,33.31796908239966,0.4313117454116017,11.40635911808997,39.22138703729967,2515.166524872817,46343.84939698588,28271.997654304785,78.1805196640262,744699.2943939248,632.0117303571225,15.621258394011607,0.0190828270597674,20240921154729,1505,XXX0002,1
-6.81421916680577e-06,7.90741500949349e-06,0.035825650862808534,0.05389809000547554,0.05389809043622904,1.2609076784184865,7.969008944569263,-99.83979576926947,0.02506085515179009,3.291892354880741,-1.4874991092757876e-06,0.04424602376263015,9.089748166306315e-06,0.035982172775835854,26.05829610114313,13.03721493514399,33.31796908239966,0.5241110934600558,11.58850228678148,39.56530988512268,2633.5898032189584,42136.67742254021,27815.438923976213,82.98945804033437,668156.5234824882,776.2018790171261,17.114193317866167,0.026190616937853455,20240921155518,1505,XXX0002,1
-6.38239038620074e-06,-0.0003791926513512858,0.040199812945162186,0.060222531333516634,0.06022253167171985,1.2618289506107467,6.775890879167735,-86.49041691026312,0.011706970425582284,3.427437312798894,1.0202506811183836e-06,0.047725935366264315,-0.00020229380667354083,0.04095692843818098,25.88107094583072,12.937981266443828,12.803148489575946,0.5065840281902982,11.598744548438269,39.217841440930364,2582.492087814845,40490.7893676315,26486.829532703574,92.39636821211037,936120.7164981484,938.6545945851036,22.164756024937002,0.020902808382711194,20240921161602,1505,XXX0004,1
-1.632172328155663e-06,0.0003017152369750614,0.04145627008236983,0.06168654103578949,0.061686541057382416,1.257245458126739,4.365234276461209,-122.20370267645325,0.0007529025878573499,3.08181199085626,2.011899799898986e-06,0.04918495263565453,0.0001477856374267499,0.04239613947225564,26.758981465134294,12.877415148823234,33.31796908239966,0.43175354419005013,11.62703670865001,39.77450007091193,2298.139312160847,37338.24486797175,28159.88700636338,88.89601820089258,755506.7333860954,638.3100628811278,19.475041971175674,0.0406317086809867,20240921162221,1505,XXX0004,1
-2.3327372010828316e-06,-0.00046765152640662784,0.03563246587955708,0.053353715165791966,0.05335371521678808,1.2585962891489697,5.124131368708254,-131.38571382675775,0.04642793865686138,3.1670081968338297,1.9523598908053163e-06,0.04384833786843767,-0.0005049126532659926,0.035903106267664554,25.63788294391404,12.99062021109098,33.31796908239966,0.4532901152253873,11.477392746337944,39.019288044249045,2439.6190496975805,42693.52984396339,25639.623818747597,80.88128996352889,634698.7910155626,670.7667909715975,16.119331618554938,0.015408949883095905,20240921164510,1505,XXX0005,1
5.24501407283948e-06,3.20265746227592e-05,0.037936374865957835,0.05651183982196565,0.05651184006536749,1.2575416442197842,5.992710908622845,-103.77924677450349,0.007065621951090083,3.199375263467644,-6.549298213981873e-07,0.046973085828012975,0.00023734291997191707,0.03818405350815871,25.78544873436108,12.980950958813162,33.31796908239966,0.49817101578149053,11.546932211332518,39.16465749539072,2803.8391652844607,41107.1502074891,26517.773323986872,86.89739990223661,784572.4547794057,909.5484940168998,20.90272603082894,0.01887154915361992,20240921165102,1505,XXX0005,1
-4.7697913637094584e-06,-8.939798481409807e-06,0.03683794733479227,0.06331740151489061,0.06331740169454825,1.3727280180098476,13.513315947658082,-43.47553361394453,0.32827762032706725,12.973600649834637,-3.2469140628611786e-06,0.050447361418275875,-8.552335453766197e-05,0.03729411994424302,24.124179260483245,13.059586238123087,33.31796908239966,0.4865323382125463,11.662888104968474,38.49808537796057,5072.263366807263,59012.52761008366,29068.792183681366,65.86605693548594,854564.6535612699,518.0722709776015,12.336297832028485,-0.027713753396215714,20240924092105,1505,XXX0006,1
