"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
         0, 1.666667E-02, 2.620000E+00,   46
         1, 3.333333E-02, 2.590000E+00,   46
         2, 5.000000E-02, 2.720000E+00,   46
         3, 6.666666E-02, 2.590000E+00,   46
         4, 8.333333E-02, 2.640000E+00,   46
         5, 9.999999E-02, 2.690000E+00,   46
         6, 1.166667E-01, 2.840000E+00,   46
         7, 1.333333E-01, 3.140000E+00,   46
         8, 1.500000E-01, 2.990000E+00,   46
         9, 1.666666E-01, 2.570000E+00,   46
        10, 1.833333E-01, 2.620000E+00,   46
        11, 2.000000E-01, 2.690000E+00,   46
        12, 2.166666E-01, 2.590000E+00,   46
        13, 2.333333E-01, 2.620000E+00,   46
        14, 2.500000E-01, 2.670000E+00,   46
        15, 2.666667E-01, 2.590000E+00,   46
        16, 2.833333E-01, 2.620000E+00,   46
        17, 3.000000E-01, 2.640000E+00,   46
        18, 3.166667E-01, 2.620000E+00,   46
        19, 3.333333E-01, 2.620000E+00,   46
        20, 3.500000E-01, 2.720000E+00,   46
        21, 3.666667E-01, 2.690000E+00,   46
        22, 3.833334E-01, 2.690000E+00,   46
        23, 4.000001E-01, 2.740000E+00,   46
        24, 4.166667E-01, 2.770000E+00,   46
        25, 4.333334E-01, 2.720000E+00,   46
        26, 4.500000E-01, 2.740000E+00,   46
        27, 4.666667E-01, 2.690000E+00,   46
        28, 4.833333E-01, 2.690000E+00,   46
        29, 5.000000E-01, 2.720000E+00,   46
        30, 5.166666E-01, 2.640000E+00,   46
        31, 5.333332E-01, 2.620000E+00,   46
        32, 5.499999E-01, 2.720000E+00,   46
        33, 5.666665E-01, 2.640000E+00,   46
        34, 5.833332E-01, 2.620000E+00,   46
        35, 5.999998E-01, 2.720000E+00,   46
        36, 6.166665E-01, 2.670000E+00,   46
        37, 6.333331E-01, 2.640000E+00,   46
        38, 6.499998E-01, 2.740000E+00,   46
        39, 6.666664E-01, 2.640000E+00,   46
        40, 6.833331E-01, 2.790000E+00,   46
        41, 6.999997E-01, 2.920000E+00,   46
        42, 7.166664E-01, 2.690000E+00,   46
        43, 7.333331E-01, 2.640000E+00,   46
        44, 7.499997E-01, 2.640000E+00,   46
        45, 7.666664E-01, 2.570000E+00,   46
        46, 7.833330E-01, 2.590000E+00,   46
        47, 7.999997E-01, 2.640000E+00,   46
        48, 8.166663E-01, 2.570000E+00,   46
        49, 8.333330E-01, 2.470000E+00,   46
        50, 8.499997E-01, 2.570000E+00,   46
        51, 8.666663E-01, 2.470000E+00,   46
        52, 8.833330E-01, 2.520000E+00,   46
        53, 8.999996E-01, 2.570000E+00,   46
        54, 9.166663E-01, 2.520000E+00,   46
        55, 9.333329E-01, 2.520000E+00,   46
        56, 9.499996E-01, 2.590000E+00,   46
        57, 9.666662E-01, 2.570000E+00,   46
